Demand,SolarGen
17.81362,0.325
18.78489,0.49
22.7097,0.61
31.45853,0.68
23.73012,0.702
28.81757,0.655
24.83807,0.579
28.33501,0.451
25.66902,0.272
28.76151,0.079
52.50688,0
72.60031,0
68.50616,0
49.16298,0
23.84431,0
16.20212,0
6.62153,0
4.11431,0
4.63443,0
4.31153,0
4.47329,0
9.22913,0
15.42213,0.001
19.83051,0.124
15.5681,0.337
23.45272,0.513
22.1655,0.632
25.60482,0.699
32.58614,0.716
23.39061,0.672
23.00922,0.595
24.27787,0.466
27.12649,0.284
29.88158,0.089
50.83658,0
70.82741,0
69.04431,0
44.87258,0
26.3334,0
14.66662,0
7.24257,0
5.66242,0
5.39128,0
4.70077,0
5.37192,0
10.18433,0
13.48252,0.001
23.30071,0.13
16.15072,0.342
19.40707,0.515
20.5145,0.643
27.12068,0.71
25.2097,0.727
29.58187,0.689
21.82281,0.599
25.0899,0.453
25.38372,0.266
31.8401,0.082
50.93224,0
69.63447,0
80.84992,0
42.9598,0
25.5279,0
15.06924,0
6.10873,0
5.14504,0
4.87656,0
5.35,0
5.32071,0
10.27012,0
13.07266,0.001
18.57193,0.125
16.53757,0.322
19.21634,0.48
20.39836,0.608
25.97327,0.694
27.03095,0.715
19.92162,0.682
22.99954,0.612
26.38925,0.486
22.22026,0.307
32.79513,0.101
48.61609,0
53.54638,0
70.45458,0
46.65835,0
24.83816,0
13.90675,0
6.40713,0
5.30355,0
5.01396,0
5.46664,0
4.98985,0
11.54241,0
15.76109,0.001
21.52653,0.108
15.24064,0.28
21.18236,0.481
25.3399,0.626
28.08041,0.694
26.58542,0.698
26.97754,0.658
24.86603,0.57
27.36722,0.421
30.41848,0.239
33.8679,0.069
44.75953,0
68.45923,0
78.90634,0
58.98839,0
23.03012,0
16.77074,0
6.21351,0
5.71782,0
5.27238,0
5.89049,0
4.59842,0
11.41066,0
15.99496,0.001
21.1549,0.153
16.21963,0.371
20.09775,0.547
19.50012,0.676
26.3323,0.739
30.65678,0.752
26.42984,0.708
28.06403,0.625
29.47598,0.49
30.9299,0.305
31.07595,0.098
51.47647,0
65.85893,0
71.00151,0
56.60024,0
33.30018,0
17.00386,0
7.03141,0
3.91826,0
4.11468,0
3.86628,0
4.5773,0
8.25094,0
12.2638,0.001
16.92679,0.116
14.33923,0.324
17.68904,0.507
21.39042,0.633
22.51235,0.698
19.99599,0.701
29.06021,0.624
20.36902,0.548
26.20806,0.421
22.39008,0.244
28.67105,0.069
37.23745,0
51.0552,0
65.87714,0
50.59325,0
20.56705,0
13.04367,0
5.8755,0
5.39412,0
5.7095,0
6.61336,0
5.39438,0
13.93296,0
14.86081,0
21.11751,0.073
19.1107,0.237
21.68617,0.441
22.09863,0.562
30.61851,0.607
32.7256,0.618
25.3424,0.55
29.77963,0.424
30.44846,0.275
31.33353,0.141
37.02186,0.039
53.43919,0
72.17683,0
100.0929,0
62.48585,0
29.5529,0
17.46044,0
6.44305,0
4.66261,0
5.11235,0
3.89426,0
4.4282,0
10.3933,0
12.3475,0
20.34228,0.082
14.18685,0.247
16.01656,0.401
22.6255,0.521
24.84386,0.615
24.16886,0.664
27.7161,0.657
22.14568,0.584
25.27975,0.463
20.32758,0.292
27.93597,0.094
39.54317,0
54.83108,0
51.92108,0
51.2779,0
23.44328,0
12.33097,0
6.44398,0
5.32619,0
5.00796,0
5.20533,0
5.30194,0
10.84792,0
12.21679,0.002
20.73741,0.149
19.48152,0.371
16.695,0.545
24.0277,0.66
26.20741,0.728
25.52665,0.745
28.92184,0.703
21.75417,0.623
27.4002,0.493
28.14231,0.311
35.88368,0.105
39.54689,0
58.05187,0
73.77818,0
60.43342,0
26.98891,0
16.30277,0
5.19547,0
6.51541,0
6.76803,0
5.25907,0
6.00871,0
10.51623,0
14.11446,0.002
24.34829,0.152
15.85422,0.372
23.38588,0.545
25.66911,0.66
28.00149,0.724
26.50083,0.74
32.24634,0.697
27.40303,0.621
31.71933,0.492
31.47507,0.31
36.70137,0.104
51.14526,0
64.91289,0
75.84698,0
66.98103,0
28.11878,0
16.1643,0
6.92017,0
4.28955,0
4.3322,0
3.94026,0
4.26366,0
9.52546,0
15.67559,0.001
21.61957,0.119
15.26093,0.327
18.6877,0.505
21.23216,0.609
28.0367,0.676
23.82476,0.692
21.10787,0.656
26.94788,0.572
21.93746,0.436
27.13248,0.255
26.87959,0.076
44.2581,0
48.48813,0
67.71174,0
51.95574,0
22.78881,0
13.84232,0
6.37056,0
5.1987,0
5.17749,0
3.76463,0
5.09304,0
12.53108,0
14.8672,0.001
20.38054,0.109
16.63659,0.302
18.09572,0.471
25.01076,0.582
28.24378,0.648
22.30339,0.664
23.05638,0.632
24.85524,0.543
26.17048,0.41
26.04888,0.222
28.69656,0.057
39.79287,0
51.77514,0
77.95431,0
59.47389,0
26.68657,0
14.20805,0
6.97168,0
5.53879,0
4.81556,0
4.01817,0
4.36499,0
8.70843,0
15.59884,0.002
20.44719,0.139
15.00221,0.353
13.50629,0.526
19.29955,0.645
19.29813,0.714
20.45811,0.733
20.17697,0.702
21.3077,0.619
22.68806,0.484
27.83195,0.301
29.80376,0.103
41.93034,0
48.13672,0
58.48096,0
40.77911,0
30.14023,0
13.57126,0
6.72725,0
5.86902,0
5.53172,0
5.24861,0
5.58294,0
10.99799,0
14.79209,0.002
18.84998,0.148
15.94198,0.363
21.3122,0.536
23.31052,0.653
24.20463,0.718
28.69619,0.733
27.0746,0.696
24.37813,0.617
24.185,0.486
30.44111,0.305
34.05843,0.102
51.76983,0
64.45275,0
71.58103,0
57.79728,0
29.23869,0
15.0902,0
6.2672,0
4.37798,0
4.258,0
4.93396,0
4.45148,0
10.77232,0
14.27786,0.001
18.32692,0.1
16.86786,0.289
16.70567,0.46
16.09551,0.584
24.37919,0.662
22.17451,0.683
20.77768,0.632
19.12615,0.54
21.87844,0.393
20.07221,0.219
27.32628,0.063
48.89309,0
55.68371,0
69.27229,0
41.79594,0
20.2572,0
12.66538,0
5.26503,0
5.33283,0
5.7156,0
4.54438,0
5.376,0
10.64445,0
14.1537,0.001
20.31821,0.089
16.60836,0.264
18.10225,0.431
25.35963,0.598
23.9838,0.669
19.96662,0.689
28.08444,0.628
24.69097,0.548
30.68943,0.419
23.95793,0.251
29.51618,0.077
52.03097,0
67.78393,0
76.31236,0
53.00879,0
28.16836,0
13.52917,0
6.44156,0
4.39969,0
4.88605,0
5.5822,0
5.38754,0
10.60191,0
12.70106,0.002
20.50678,0.108
16.05135,0.299
15.24466,0.47
19.72442,0.588
26.07921,0.65
22.8013,0.662
27.81894,0.618
23.84419,0.538
27.11062,0.412
20.60732,0.227
23.72587,0.071
39.88241,0
68.51806,0
67.56634,0
55.92797,0
26.89239,0
13.88678,0
7.01014,0
3.49462,0
4.38228,0
4.32886,0
3.34961,0
8.02667,0
11.2345,0.002
16.38577,0.096
15.81015,0.256
14.50079,0.391
17.35793,0.511
18.75883,0.585
20.68828,0.622
23.03364,0.6
20.61899,0.535
27.08414,0.426
22.29832,0.267
23.69931,0.09
47.63164,0
47.03751,0
59.47988,0
36.22444,0
23.91717,0
12.56128,0
5.61178,0
6.27948,0
4.99443,0
4.71417,0
4.9831,0
8.94617,0
15.69557,0.001
20.7074,0.061
17.41427,0.155
20.73969,0.223
23.26269,0.253
23.86103,0.295
25.45179,0.317
26.70851,0.343
24.80872,0.334
30.34729,0.287
26.28076,0.167
35.7392,0.045
45.53603,0
72.75162,0
66.69438,0
56.92728,0
29.33451,0
16.47561,0
7.46804,0
4.19764,0
4.10233,0
4.77071,0
4.06853,0
9.80285,0
13.692,0.001
18.40154,0.077
14.52581,0.201
17.69926,0.315
23.09948,0.413
19.7946,0.455
25.77704,0.444
23.87029,0.386
23.18803,0.302
29.22193,0.235
25.82299,0.12
27.77029,0.038
41.26162,0
68.54635,0
65.45237,0
48.22958,0
22.99355,0
14.65956,0
5.01556,0
4.49712,0
4.07894,0
4.47835,0
4.67739,0
8.87285,0
12.61793,0
18.1132,0.056
15.32056,0.192
15.58074,0.367
18.33119,0.491
25.72155,0.55
19.25227,0.555
25.89702,0.512
22.06786,0.399
18.48933,0.288
23.61069,0.175
33.4522,0.058
34.7204,0
70.45656,0
64.94217,0
45.85264,0
25.49101,0
13.42432,0
5.89507,0
4.4129,0
4.45955,0
3.32827,0
4.93752,0
11.1058,0
14.28317,0
17.49913,0.057
18.03027,0.185
16.97243,0.376
23.8278,0.536
22.84976,0.609
23.06214,0.602
26.62156,0.514
26.86231,0.35
24.86454,0.237
23.13744,0.137
25.30457,0.044
44.96687,0
61.72681,0
56.32522,0
51.19723,0
22.39203,0
14.70152,0
5.1457,0
4.11158,0
4.77021,0
4.29875,0
4.43081,0
11.24624,0
11.71583,0.002
20.13243,0.108
17.30372,0.286
17.80768,0.447
17.47331,0.611
24.98431,0.68
21.83245,0.677
26.10091,0.568
22.19088,0.473
27.22085,0.323
23.91168,0.177
26.52784,0.05
44.17797,0
46.80018,0
73.778,0
44.55003,0
26.27448,0
15.5897,0
6.6897,0
5.10055,0
4.7785,0
5.48618,0
5.23748,0
10.77097,0
16.07718,0.003
23.66001,0.127
16.33273,0.316
21.13816,0.406
22.84855,0.406
25.56473,0.391
26.69948,0.391
28.27042,0.407
22.47465,0.4
34.08739,0.348
30.34059,0.208
36.34498,0.069
54.92963,0
61.6688,0
78.08466,0
55.96997,0
29.97017,0
16.9323,0
6.5521,0
4.94943,0
5.10412,0
5.36413,0
6.08984,0
11.69504,0
16.71493,0.002
23.8109,0.075
13.99954,0.17
17.64101,0.251
23.88355,0.324
25.98553,0.413
28.85794,0.438
26.55924,0.441
29.0453,0.348
26.22863,0.243
31.23634,0.148
34.08261,0.046
50.25087,0
74.83814,0
82.77862,0
57.24886,0
27.04317,0
15.79317,0
6.79376,0
4.07915,0
4.42675,0
5.24796,0
4.7665,0
8.47266,0
12.4714,0.002
21.30716,0.089
16.80477,0.23
19.13478,0.38
17.8642,0.526
28.805,0.646
20.91957,0.663
28.13946,0.584
22.49792,0.418
21.52867,0.257
26.23442,0.148
34.14454,0.048
41.42271,0
57.51278,0
67.61745,0
49.0806,0
26.61565,0
15.03657,0
5.93811,0
4.7879,0
5.4544,0
4.82305,0
5.35541,0
12.94545,0
16.25137,0.003
18.58165,0.122
15.98412,0.3
20.54236,0.443
24.07475,0.549
32.62679,0.626
27.06137,0.66
26.15281,0.634
26.64673,0.55
29.24378,0.421
28.05157,0.243
30.78012,0.077
47.13718,0
63.31971,0
81.94839,0
55.56224,0
29.38759,0
16.59683,0
6.91219,0
3.91882,0
3.85737,0
4.10439,0
3.81834,0
7.90886,0
12.01526,0.004
16.62631,0.131
13.78045,0.314
14.46715,0.463
13.93056,0.583
20.74554,0.647
14.00752,0.679
16.38612,0.633
19.41768,0.514
20.43307,0.367
16.9084,0.214
22.78066,0.072
34.42578,0
39.33443,0
56.8165,0
36.77079,0
24.06494,0
10.92155,0
6.21815,0
3.78059,0
4.86203,0
3.79584,0
4.61102,0
8.78124,0
14.0041,0.002
15.86166,0.089
14.59399,0.232
16.31144,0.371
18.5204,0.479
24.39697,0.516
22.54273,0.512
22.60456,0.487
23.84125,0.413
23.42515,0.305
21.75995,0.175
25.73118,0.056
35.94578,0
48.02541,0
51.90609,0
36.63013,0
23.43285,0
11.7796,0
4.40506,0
6.09389,0
5.13981,0
5.23155,0
5.55681,0
15.20794,0
15.43417,0.004
24.85934,0.134
17.80512,0.341
20.47998,0.517
22.02229,0.662
29.47338,0.718
26.50381,0.717
23.87352,0.676
30.25738,0.592
30.61988,0.46
29.98877,0.292
35.25457,0.108
49.05424,0.001
66.41507,0
76.48278,0
58.23339,0
31.86252,0
17.22729,0
7.91982,0
5.62029,0
4.40464,0
4.44359,0
4.54372,0
10.1041,0
14.97975,0.005
22.46572,0.18
12.81263,0.403
14.9419,0.571
22.71446,0.682
27.82126,0.746
26.52469,0.76
20.92903,0.722
24.71236,0.638
23.87073,0.506
22.6619,0.337
32.87364,0.137
50.22011,0.002
57.45592,0
61.0549,0
53.60859,0
31.53791,0
14.38298,0
7.04051,0
3.73708,0
3.24615,0
4.56146,0
4.09446,0
9.34782,0
12.05155,0.005
15.7118,0.157
13.97428,0.38
15.71383,0.564
18.93735,0.689
21.00666,0.752
24.00487,0.767
21.79868,0.738
16.92506,0.662
25.47512,0.534
18.81404,0.354
26.58698,0.14
37.42203,0.002
51.35256,0
59.33592,0
40.08266,0
21.50771,0
10.91669,0
4.45831,0
3.5126,0
3.4559,0
4.63602,0
4.38732,0
9.80252,0
11.95323,0.004
19.61418,0.135
11.784,0.326
15.95379,0.493
17.17774,0.636
22.23248,0.711
24.38808,0.728
24.72614,0.703
21.32366,0.621
22.799,0.489
23.17293,0.311
27.3859,0.107
47.69089,0.001
46.64842,0
59.48305,0
43.71919,0
22.47779,0
15.1836,0
5.30078,0
4.06605,0
4.62212,0
4.80766,0
4.67775,0
9.92833,0
14.86411,0.004
