timestep,demand_el,price_el,Eta_el_max_woDH,P_max_woDH,Eta_el_min_woDH,P_min_woDH,Beta,Q_CW_min,H_L_FG_share
144,0.71492414,-28.79,0.6023944416,200,0.504884484,94.8496234392,0.0008342038,25.4575258011,0.1383237193
145,0.6767437785,-24.85,0.6024173138,217.6776695297,0.5049077983,94.8540033418,0.0007896533,25.4556100065,0.1383072077
146,0.6470382054,-23.34,0.6024351092,225,0.5049259375,94.8574110497,0.0007549916,25.4541194555,0.1382943611
147,0.6295378299,-22.59,0.6024455929,217.6776695297,0.5049366238,94.8594186248,0.0007345714,25.4532413306,0.1382867928
148,0.6196985629,-21.58,0.6024514872,200,0.504942632,94.8605473473,0.0007230906,25.452747621,0.1382825377
149,0.626408292,-21.67,0.6024474677,182.3223304703,0.5049385348,94.8597776332,0.0007309198,25.4530842983,0.1382854394
150,0.6540859246,-22.09,0.6024308872,175,0.5049216339,94.8566025628,0.0007632152,25.4544730923,0.138297409
151,0.7218466777,-29.68,0.6023902946,182.3223304703,0.5048802569,94.8488293125,0.0008422813,25.4578731567,0.1383267131
152,0.807245506,-35.82,0.6023391358,200,0.5048281095,94.8390326909,0.0009419283,25.4621582552,0.138363645
153,0.8344474488,-39.48,0.6023228402,217.6776695297,0.5048114991,94.8359121897,0.0009736687,25.4635231804,0.1383754088
154,0.8361624355,-34.49,0.6023218129,225,0.5048104519,94.8357154531,0.0009756698,25.4636092341,0.1383761505
155,0.8423338841,-29.15,0.6023181158,217.6776695297,0.5048066834,94.8350074885,0.0009828709,25.4639189019,0.1383788194
156,0.8495818937,-28.8,0.6023137738,200,0.5048022575,94.834176025,0.0009913282,25.4642825888,0.1383819539
157,0.8488808773,-25.94,0.6023141938,182.3223304703,0.5048026855,94.8342564429,0.0009905102,25.4642474136,0.1383816508
158,0.8410445145,-25.59,0.6023188882,175,0.5048074707,94.8351554,0.0009813664,25.4638542046,0.1383782618
159,0.8301787592,-25.18,0.6023253974,182.3223304703,0.5048141057,94.8364018772,0.0009686878,25.4633089883,0.1383735628
160,0.8270867758,-26.41,0.6023272497,200,0.5048159938,94.8367565775,0.0009650799,25.4631538403,0.1383722256
161,0.8294026338,-27.53,0.6023258624,217.6776695297,0.5048145796,94.8364909113,0.0009677822,25.4632700442,0.1383732271
162,0.8703870612,-32.13,0.6023013103,225,0.5047895531,94.8317893371,0.0010156045,25.4653265398,0.1383909514
163,0.8803389915,-36.02,0.6022953486,217.6776695297,0.5047834762,94.8306476903,0.0010272169,25.4658259027,0.1383952553
164,0.8683340844,-38.48,0.6023025402,200,0.5047908068,94.8320248466,0.001013209,25.4652235266,0.1383900636
165,0.8304541585,-34.9,0.6023252325,182.3223304703,0.5048139375,94.8363702845,0.0009690091,25.4633228071,0.1383736819
166,0.7978819288,-32.97,0.6023447451,175,0.5048338272,94.8401068441,0.0009310025,25.4616884145,0.1383595956
167,0.778040659,-32.59,0.6023566312,182.3223304703,0.504845943,94.8423829574,0.0009078508,25.4606928294,0.1383510149
168,0.7318236443,-27.54,0.6023843178,200,0.5048741646,94.8476847937,0.0008539229,25.4583737758,0.1383310277
169,0.6927670122,-25.98,0.602407715,217.6776695297,0.5048980139,94.8521652188,0.0008083499,25.4564140121,0.1383141372
