class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_100,,,,,,,,,,,,,,,,,,,,
### transshipment based on nep2014 and vernetzen-base,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,DEdr04_wind_onshore,DEdr04_wind_onshore,DEdr04_bus_el,,6522.645,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr04_storage_a_caes,DEdr04_storage_a_caes,DEdr04_bus_el,,204.85,,0.85,,,,0,,,,,,,,,
Storage,DEdr04_storage_a_caes,DEdr04_bus_el,DEdr04_storage_a_caes,,204.85,,0.85,,,,0,,357.37,0,0.837,0.837,0.5,0,1,
Storage,DEdr04_storage_hydrogen,DEdr04_storage_hydrogen,DEdr04_bus_el,,665.28,,0.85,,,,0,,,,,,,,,
Storage,DEdr04_storage_hydrogen,DEdr04_bus_el,DEdr04_storage_hydrogen,,665.28,,0.85,,,,0,,6652.76,0,0.632,0.632,0.5,0,1,
Storage,DEdr04_storage_lithium_ion,DEdr04_storage_lithium_ion,DEdr04_bus_el,,1030.85,,0.85,,,,0,,,,,,,,,
Storage,DEdr04_storage_lithium_ion,DEdr04_bus_el,DEdr04_storage_lithium_ion,,1030.85,,0.85,,,,0,,5154.24,0,0.975,0.975,0.5,0,1,
Storage,DEdr04_storage_pumped_hydro,DEdr04_storage_pumped_hydro,DEdr04_bus_el,,1085,,0.85,,,,0,,,,,,,,,
Storage,DEdr04_storage_pumped_hydro,DEdr04_bus_el,DEdr04_storage_pumped_hydro,,1085,,0.85,,,,0,,7595,0,0.894,0.894,0.5,0,1,
Storage,DEdr04_storage_redox_flow,DEdr04_storage_redox_flow,DEdr04_bus_el,,61.26,,0.85,,,,0,,,,,,,,,
Storage,DEdr04_storage_redox_flow,DEdr04_bus_el,DEdr04_storage_redox_flow,,61.26,,0.85,,,,0,,204.19,0,0.866,0.866,0.5,0,1,
Sink,DEdr04_load,DEdr04_bus_el,DEdr04_load,,4247.6347781225,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr05,,,,,,,,,,,,,,,,,,,,
Sink,DEdr05_excess,DEdr05_bus_el,DEdr05_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr05_shortage,DEdr05_shortage,DEdr05_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr05_pp_biomass,DEdr05_pp_biomass,DEdr05_bus_el,0.38,468.137,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr05_pp_biomass,GL_bus_biomass,DEdr05_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr05_run_of_river,DEdr05_run_of_river,DEdr05_bus_el,,1.192,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr05_solar,DEdr05_solar,DEdr05_bus_el,,4171.85,,,,seq,,,TRUE,,,,,,,,
Source,DEdr05_wind_onshore,DEdr05_wind_onshore,DEdr05_bus_el,,2752.223,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr05_storage_a_caes,DEdr05_storage_a_caes,DEdr05_bus_el,,105.85,,0.85,,,,0,,,,,,,,,
Storage,DEdr05_storage_a_caes,DEdr05_bus_el,DEdr05_storage_a_caes,,105.85,,0.85,,,,0,,184.67,0,0.837,0.837,0.5,0,1,
Storage,DEdr05_storage_hydrogen,DEdr05_storage_hydrogen,DEdr05_bus_el,,343.77,,0.85,,,,0,,,,,,,,,
Storage,DEdr05_storage_hydrogen,DEdr05_bus_el,DEdr05_storage_hydrogen,,343.77,,0.85,,,,0,,3437.68,0,0.632,0.632,0.5,0,1,
Storage,DEdr05_storage_lithium_ion,DEdr05_storage_lithium_ion,DEdr05_bus_el,,532.67,,0.85,,,,0,,,,,,,,,
Storage,DEdr05_storage_lithium_ion,DEdr05_bus_el,DEdr05_storage_lithium_ion,,532.67,,0.85,,,,0,,2663.35,0,0.975,0.975,0.5,0,1,
Storage,DEdr05_storage_redox_flow,DEdr05_storage_redox_flow,DEdr05_bus_el,,31.65,,0.85,,,,0,,,,,,,,,
Storage,DEdr05_storage_redox_flow,DEdr05_bus_el,DEdr05_storage_redox_flow,,31.65,,0.85,,,,0,,105.51,0,0.866,0.866,0.5,0,1,
Sink,DEdr05_load,DEdr05_bus_el,DEdr05_load,,3512.4672203705,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr06,,,,,,,,,,,,,,,,,,,,
Sink,DEdr06_excess,DEdr06_bus_el,DEdr06_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr06_shortage,DEdr06_shortage,DEdr06_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr06_pp_biomass,DEdr06_pp_biomass,DEdr06_bus_el,0.38,431.359,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr06_pp_biomass,GL_bus_biomass,DEdr06_pp_biomass,,,,,,,,,,,,,,,,,
