class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_100,,,,,,,,,,,,,,,,,,,,
### transshipment based on nep2014 and vernetzen-base,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
### LinearTransformer,CH_FR_powerline,CH_bus_el,CH_FR_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,CH_FR_powerline,CH_FR_powerline,FR_bus_el,0.97,2300,,,,,,,,,,,,,,,
### LinearTransformer,CZ_AT_powerline,CZ_AT_powerline,AT_bus_el,0.97,2180,,,,,,,,,,,,,,,
### LinearTransformer,CZ_AT_powerline,CZ_bus_el,CZ_AT_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,CZ_DEdr04_powerline,CZ_bus_el,CZ_DEdr04_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,CZ_DEdr04_powerline,CZ_DEdr04_powerline,CZ_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,CZ_DEdr17_powerline,CZ_bus_el,CZ_DEdr17_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,CZ_DEdr17_powerline,CZ_DEdr17_powerline,CZ_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,CZ_PL_powerline,CZ_bus_el,CZ_PL_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,CZ_PL_powerline,CZ_PL_powerline,PL_bus_el,0.97,800,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DEdr03_powerline,DEdr01_bus_el,DEdr01_DEdr03_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DEdr03_powerline,DEdr01_DEdr03_powerline,DEdr01_bus_el,0.97,7884,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DEdr04_powerline,DEdr01_bus_el,DEdr01_DEdr04_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DEdr04_powerline,DEdr01_DEdr04_powerline,DEdr01_bus_el,0.97,4418,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DEdr14_powerline,DEdr01_bus_el,DEdr01_DEdr14_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DEdr14_powerline,DEdr01_DEdr14_powerline,DEdr01_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DEdr15_powerline,DEdr01_bus_el,DEdr01_DEdr15_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DEdr15_powerline,DEdr01_DEdr15_powerline,DEdr01_bus_el,0.97,5342,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DK_powerline,DEdr01_bus_el,DEdr01_DK_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_DK_powerline,DEdr01_DK_powerline,DEdr01_bus_el,0.97,600,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_PL_powerline,DEdr01_bus_el,DEdr01_PL_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr01_PL_powerline,DEdr01_PL_powerline,DEdr01_bus_el,0.97,3465,,,,,,,,,,,,,,,
### LinearTransformer,DEdr02_DEdr13_powerline,DEdr02_bus_el,DEdr02_DEdr13_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr02_DEdr13_powerline,DEdr02_DEdr13_powerline,DEdr02_bus_el,0.97,4028,,,,,,,,,,,,,,,
### LinearTransformer,DEdr02_DEdr14_powerline,DEdr02_bus_el,DEdr02_DEdr14_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr02_DEdr14_powerline,DEdr02_DEdr14_powerline,DEdr02_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr01_powerline,DEdr03_bus_el,DEdr03_DEdr01_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr01_powerline,DEdr03_DEdr01_powerline,DEdr03_bus_el,0.97,7884,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr04_powerline,DEdr03_bus_el,DEdr03_DEdr04_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr04_powerline,DEdr03_DEdr04_powerline,DEdr03_bus_el,0.97,17252,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr10_powerline,DEdr03_bus_el,DEdr03_DEdr10_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr10_powerline,DEdr03_DEdr10_powerline,DEdr03_bus_el,0.97,3583,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr16_powerline,DEdr03_bus_el,DEdr03_DEdr16_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr16_powerline,DEdr03_DEdr16_powerline,DEdr03_bus_el,0.97,5342,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr17_powerline,DEdr03_bus_el,DEdr03_DEdr17_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr03_DEdr17_powerline,DEdr03_DEdr17_powerline,DEdr03_bus_el,0.97,5370,,,,,,,,,,,,,,,
### LinearTransformer,DEdr04_CZ_powerline,DEdr04_bus_el,DEdr04_CZ_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr04_CZ_powerline,DEdr04_CZ_powerline,DEdr04_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr04_DEdr01_powerline,DEdr04_bus_el,DEdr04_DEdr01_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr04_DEdr01_powerline,DEdr04_DEdr01_powerline,DEdr04_bus_el,0.97,4418,,,,,,,,,,,,,,,
### LinearTransformer,DEdr04_DEdr03_powerline,DEdr04_bus_el,DEdr04_DEdr03_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr04_DEdr03_powerline,DEdr04_DEdr03_powerline,DEdr04_bus_el,0.97,17252,,,,,,,,,,,,,,,
### LinearTransformer,DEdr04_PL_powerline,DEdr04_bus_el,DEdr04_PL_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr04_PL_powerline,DEdr04_PL_powerline,DEdr04_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr05_DEdr06_powerline,DEdr05_bus_el,DEdr05_DEdr06_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr05_DEdr06_powerline,DEdr05_DEdr06_powerline,DEdr05_bus_el,0.97,4418,,,,,,,,,,,,,,,
### LinearTransformer,DEdr05_DEdr07_powerline,DEdr05_bus_el,DEdr05_DEdr07_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr05_DEdr07_powerline,DEdr05_DEdr07_powerline,DEdr05_bus_el,0.97,3466,,,,,,,,,,,,,,,
### LinearTransformer,DEdr05_DEdr14_powerline,DEdr05_bus_el,DEdr05_DEdr14_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr05_DEdr14_powerline,DEdr05_DEdr14_powerline,DEdr05_bus_el,0.97,5760,,,,,,,,,,,,,,,
### LinearTransformer,DEdr05_DEdr15_powerline,DEdr05_bus_el,DEdr05_DEdr15_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr05_DEdr15_powerline,DEdr05_DEdr15_powerline,DEdr05_bus_el,0.97,3251,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr05_powerline,DEdr06_bus_el,DEdr06_DEdr05_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr05_powerline,DEdr06_DEdr05_powerline,DEdr06_bus_el,0.97,4418,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr07_powerline,DEdr06_bus_el,DEdr06_DEdr07_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr07_powerline,DEdr06_DEdr07_powerline,DEdr06_bus_el,0.97,15593,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr08_powerline,DEdr06_bus_el,DEdr06_DEdr08_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr08_powerline,DEdr06_DEdr08_powerline,DEdr06_bus_el,0.97,15766,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr11_powerline,DEdr06_bus_el,DEdr06_DEdr11_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr11_powerline,DEdr06_DEdr11_powerline,DEdr06_bus_el,0.97,2000,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr14_powerline,DEdr06_bus_el,DEdr06_DEdr14_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_DEdr14_powerline,DEdr06_DEdr14_powerline,DEdr06_bus_el,0.97,2000,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_NL_powerline,DEdr06_bus_el,DEdr06_NL_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr06_NL_powerline,DEdr06_NL_powerline,DEdr06_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr05_powerline,DEdr07_bus_el,DEdr07_DEdr05_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr05_powerline,DEdr07_DEdr05_powerline,DEdr07_bus_el,0.97,3466,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr06_powerline,DEdr07_bus_el,DEdr07_DEdr06_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr06_powerline,DEdr07_DEdr06_powerline,DEdr07_bus_el,0.97,15593,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr08_powerline,DEdr07_bus_el,DEdr07_DEdr08_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr08_powerline,DEdr07_DEdr08_powerline,DEdr07_bus_el,0.97,2513,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr15_powerline,DEdr07_bus_el,DEdr07_DEdr15_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr15_powerline,DEdr07_DEdr15_powerline,DEdr07_bus_el,0.97,1343,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr16_powerline,DEdr07_bus_el,DEdr07_DEdr16_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr07_DEdr16_powerline,DEdr07_DEdr16_powerline,DEdr07_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_BE_powerline,DEdr08_bus_el,DEdr08_BE_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_BE_powerline,DEdr08_BE_powerline,DEdr08_bus_el,0.97,1000,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_DEdr06_powerline,DEdr08_bus_el,DEdr08_DEdr06_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_DEdr06_powerline,DEdr08_DEdr06_powerline,DEdr08_bus_el,0.97,15766,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_DEdr07_powerline,DEdr08_bus_el,DEdr08_DEdr07_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_DEdr07_powerline,DEdr08_DEdr07_powerline,DEdr08_bus_el,0.97,2513,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_DEdr09_powerline,DEdr08_bus_el,DEdr08_DEdr09_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_DEdr09_powerline,DEdr08_DEdr09_powerline,DEdr08_bus_el,0.97,8836,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_DEdr16_powerline,DEdr08_bus_el,DEdr08_DEdr16_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_DEdr16_powerline,DEdr08_DEdr16_powerline,DEdr08_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_NL_powerline,DEdr08_bus_el,DEdr08_NL_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr08_NL_powerline,DEdr08_NL_powerline,DEdr08_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_DEdr08_powerline,DEdr09_bus_el,DEdr09_DEdr08_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_DEdr08_powerline,DEdr09_DEdr08_powerline,DEdr09_bus_el,0.97,8836,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_DEdr11_powerline,DEdr09_bus_el,DEdr09_DEdr11_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_DEdr11_powerline,DEdr09_DEdr11_powerline,DEdr09_bus_el,0.97,10574,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_DEdr16_powerline,DEdr09_bus_el,DEdr09_DEdr16_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_DEdr16_powerline,DEdr09_DEdr16_powerline,DEdr09_bus_el,0.97,8491,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_DEdr17_powerline,DEdr09_bus_el,DEdr09_DEdr17_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_DEdr17_powerline,DEdr09_DEdr17_powerline,DEdr09_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_FR_powerline,DEdr09_bus_el,DEdr09_FR_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_FR_powerline,DEdr09_FR_powerline,DEdr09_bus_el,0.97,3075,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_LU_powerline,DEdr09_bus_el,DEdr09_LU_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr09_LU_powerline,DEdr09_LU_powerline,DEdr09_bus_el,0.97,3120,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_AT_powerline,DEdr10_bus_el,DEdr10_AT_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_AT_powerline,DEdr10_AT_powerline,DEdr10_bus_el,0.97,6808,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_DEdr03_powerline,DEdr10_bus_el,DEdr10_DEdr03_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_DEdr03_powerline,DEdr10_DEdr03_powerline,DEdr10_bus_el,0.97,3583,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_DEdr11_powerline,DEdr10_bus_el,DEdr10_DEdr11_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_DEdr11_powerline,DEdr10_DEdr11_powerline,DEdr10_bus_el,0.97,1343,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_DEdr12_powerline,DEdr10_bus_el,DEdr10_DEdr12_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_DEdr12_powerline,DEdr10_DEdr12_powerline,DEdr10_bus_el,0.97,1733,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_DEdr18_powerline,DEdr10_bus_el,DEdr10_DEdr18_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr10_DEdr18_powerline,DEdr10_DEdr18_powerline,DEdr10_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr06_powerline,DEdr11_bus_el,DEdr11_DEdr06_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr06_powerline,DEdr11_DEdr06_powerline,DEdr11_bus_el,0.97,2000,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr09_powerline,DEdr11_bus_el,DEdr11_DEdr09_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr09_powerline,DEdr11_DEdr09_powerline,DEdr11_bus_el,0.97,10574,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr10_powerline,DEdr11_bus_el,DEdr11_DEdr10_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr10_powerline,DEdr11_DEdr10_powerline,DEdr11_bus_el,0.97,1343,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr12_powerline,DEdr11_bus_el,DEdr11_DEdr12_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr12_powerline,DEdr11_DEdr12_powerline,DEdr11_bus_el,0.97,17767,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr13_powerline,DEdr11_bus_el,DEdr11_DEdr13_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr13_powerline,DEdr11_DEdr13_powerline,DEdr11_bus_el,0.97,2000,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr17_powerline,DEdr11_bus_el,DEdr11_DEdr17_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr11_DEdr17_powerline,DEdr11_DEdr17_powerline,DEdr11_bus_el,0.97,2686,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_AT_powerline,DEdr12_bus_el,DEdr12_AT_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_AT_powerline,DEdr12_AT_powerline,DEdr12_bus_el,0.97,390,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_CH_powerline,DEdr12_bus_el,DEdr12_CH_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_CH_powerline,DEdr12_CH_powerline,DEdr12_bus_el,0.97,11348,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_DEdr10_powerline,DEdr12_bus_el,DEdr12_DEdr10_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_DEdr10_powerline,DEdr12_DEdr10_powerline,DEdr12_bus_el,0.97,1733,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_DEdr11_powerline,DEdr12_bus_el,DEdr12_DEdr11_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_DEdr11_powerline,DEdr12_DEdr11_powerline,DEdr12_bus_el,0.97,17767,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_FR_powerline,DEdr12_bus_el,DEdr12_FR_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr12_FR_powerline,DEdr12_FR_powerline,DEdr12_bus_el,0.97,3075,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DEdr02_powerline,DEdr13_bus_el,DEdr13_DEdr02_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DEdr02_powerline,DEdr13_DEdr02_powerline,DEdr13_bus_el,0.97,4028,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DEdr11_powerline,DEdr13_bus_el,DEdr13_DEdr11_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DEdr11_powerline,DEdr13_DEdr11_powerline,DEdr13_bus_el,0.97,2000,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DEdr14_powerline,DEdr13_bus_el,DEdr13_DEdr14_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DEdr14_powerline,DEdr13_DEdr14_powerline,DEdr13_bus_el,0.97,8835,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DEdr17_powerline,DEdr13_bus_el,DEdr13_DEdr17_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DEdr17_powerline,DEdr13_DEdr17_powerline,DEdr13_bus_el,0.97,2000,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DK_powerline,DEdr13_bus_el,DEdr13_DK_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_DK_powerline,DEdr13_DK_powerline,DEdr13_bus_el,0.97,8596,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_SE_powerline,DEdr13_bus_el,DEdr13_SE_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr13_SE_powerline,DEdr13_SE_powerline,DEdr13_bus_el,0.97,450,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr01_powerline,DEdr14_bus_el,DEdr14_DEdr01_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr01_powerline,DEdr14_DEdr01_powerline,DEdr14_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr02_powerline,DEdr14_bus_el,DEdr14_DEdr02_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr02_powerline,DEdr14_DEdr02_powerline,DEdr14_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr05_powerline,DEdr14_bus_el,DEdr14_DEdr05_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr05_powerline,DEdr14_DEdr05_powerline,DEdr14_bus_el,0.97,5760,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr06_powerline,DEdr14_bus_el,DEdr14_DEdr06_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr06_powerline,DEdr14_DEdr06_powerline,DEdr14_bus_el,0.97,2000,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr13_powerline,DEdr14_bus_el,DEdr14_DEdr13_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr13_powerline,DEdr14_DEdr13_powerline,DEdr14_bus_el,0.97,8835,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr15_powerline,DEdr14_bus_el,DEdr14_DEdr15_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_DEdr15_powerline,DEdr14_DEdr15_powerline,DEdr14_bus_el,0.97,10354,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_NL_powerline,DEdr14_bus_el,DEdr14_NL_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr14_NL_powerline,DEdr14_NL_powerline,DEdr14_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr01_powerline,DEdr15_bus_el,DEdr15_DEdr01_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr01_powerline,DEdr15_DEdr01_powerline,DEdr15_bus_el,0.97,5342,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr05_powerline,DEdr15_bus_el,DEdr15_DEdr05_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr05_powerline,DEdr15_DEdr05_powerline,DEdr15_bus_el,0.97,3251,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr07_powerline,DEdr15_bus_el,DEdr15_DEdr07_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr07_powerline,DEdr15_DEdr07_powerline,DEdr15_bus_el,0.97,1343,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr14_powerline,DEdr15_bus_el,DEdr15_DEdr14_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr14_powerline,DEdr15_DEdr14_powerline,DEdr15_bus_el,0.97,10354,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr16_powerline,DEdr15_bus_el,DEdr15_DEdr16_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr15_DEdr16_powerline,DEdr15_DEdr16_powerline,DEdr15_bus_el,0.97,9225,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr03_powerline,DEdr16_bus_el,DEdr16_DEdr03_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr03_powerline,DEdr16_DEdr03_powerline,DEdr16_bus_el,0.97,5342,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr07_powerline,DEdr16_bus_el,DEdr16_DEdr07_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr07_powerline,DEdr16_DEdr07_powerline,DEdr16_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr08_powerline,DEdr16_bus_el,DEdr16_DEdr08_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr08_powerline,DEdr16_DEdr08_powerline,DEdr16_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr09_powerline,DEdr16_bus_el,DEdr16_DEdr09_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr09_powerline,DEdr16_DEdr09_powerline,DEdr16_bus_el,0.97,8491,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr15_powerline,DEdr16_bus_el,DEdr16_DEdr15_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr15_powerline,DEdr16_DEdr15_powerline,DEdr16_bus_el,0.97,9225,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr17_powerline,DEdr16_bus_el,DEdr16_DEdr17_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr16_DEdr17_powerline,DEdr16_DEdr17_powerline,DEdr16_bus_el,0.97,3465,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_CZ_powerline,DEdr17_bus_el,DEdr17_CZ_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_CZ_powerline,DEdr17_CZ_powerline,DEdr17_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr03_powerline,DEdr17_bus_el,DEdr17_DEdr03_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr03_powerline,DEdr17_DEdr03_powerline,DEdr17_bus_el,0.97,5370,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr09_powerline,DEdr17_bus_el,DEdr17_DEdr09_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr09_powerline,DEdr17_DEdr09_powerline,DEdr17_bus_el,0.97,2685,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr11_powerline,DEdr17_bus_el,DEdr17_DEdr11_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr11_powerline,DEdr17_DEdr11_powerline,DEdr17_bus_el,0.97,2686,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr13_powerline,DEdr17_bus_el,DEdr17_DEdr13_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr13_powerline,DEdr17_DEdr13_powerline,DEdr17_bus_el,0.97,2000,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr16_powerline,DEdr17_bus_el,DEdr17_DEdr16_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr16_powerline,DEdr17_DEdr16_powerline,DEdr17_bus_el,0.97,3465,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr18_powerline,DEdr17_bus_el,DEdr17_DEdr18_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr17_DEdr18_powerline,DEdr17_DEdr18_powerline,DEdr17_bus_el,0.97,5978,,,,,,,,,,,,,,,
### LinearTransformer,DEdr18_AT_powerline,DEdr18_bus_el,DEdr18_AT_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr18_AT_powerline,DEdr18_AT_powerline,DEdr18_bus_el,0.97,4074,,,,,,,,,,,,,,,
### LinearTransformer,DEdr18_DEdr10_powerline,DEdr18_bus_el,DEdr18_DEdr10_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,DEdr18_DEdr10_powerline,DEdr18_DEdr10_powerline,DEdr18_bus_el,0.97,2685,,,,,,,,,,,,,,,
