deu_2006,deu_2007,deu_2008,deu_2009,deu_2010,deu_2011
55246,47421,41876,52646,52635,54655
61120,48114,40187,59353,58712,61582
68225,52133,42298,65852,65713,68940
70518,56825,45729,67736,67899,70997
70103,59875,49548,67623,67835,71057
71179,61852,52605,67771,68057,71904
72009,63330,56102,68383,68381,72897
70971,62548,55946,67845,67688,72472
69452,60691,54067,66891,67096,71903
68096,59069,52831,65811,66311,71190
67289,58879,52896,65153,66045,70701
67797,59629,54766,65295,66044,70319
71366,64004,59467,68681,68984,72802
71186,64906,61443,69094,70624,72959
68354,62231,60114,67243,69444,70964
64330,58075,57787,63426,66084,67042
62694,56197,56488,60851,62654,64558
62658,56154,57410,59206,60741,62589
58997,52724,53529,55070,56675,58458
55662,49064,49524,51901,53484,54880
53171,46524,47357,49732,51562,52699
51979,45716,46810,48730,50604,51672
51398,46022,47703,48487,50348,51480
51245,46557,49534,49124,50905,52393
49679,45858,52569,51624,53045,55034
48471,43939,60698,58035,58821,61601
51982,45100,68604,65022,65885,68746
55722,47677,71239,67252,67924,70973
58462,50963,70989,66909,67670,71019
60227,54278,71546,67177,67702,71292
61434,57307,72961,67487,68688,71856
60470,56662,72664,66950,68447,71903
58661,54452,72365,66169,68037,70898
57230,52528,71789,65315,67392,69552
56431,52422,71537,64887,66877,68908
57284,53632,71353,64817,66524,68949
61878,58991,74950,68618,69043,71507
62456,61625,74334,69046,70225,71550
60868,60403,72321,67005,69383,69277
58336,57774,68327,62760,66019,65481
57527,56908,65560,60522,62905,62755
57049,57420,63703,59028,60872,61663
54569,53787,58694,54944,56625,58324
51659,50976,54909,51521,53083,54955
49437,49068,52647,49982,51239,52436
47976,48365,51362,48882,49811,50691
47039,49166,51568,48621,49736,49878
46697,50527,52986,49502,50300,49715
44887,53639,55272,52058,52435,48855
41694,61012,61917,58636,58295,48498
42850,68304,69342,65329,65261,51409
45748,70341,71451,66985,67907,55493
49565,70144,71422,66271,68007,58655
53051,71255,72406,66550,68118,60751
56057,72270,73397,67075,68422,61989
55343,71767,72504,66466,66569,61289
53291,71442,71809,66126,65504,59345
51715,70837,70373,65615,64819,57941
51055,70286,69808,65498,64224,57559
51724,70065,68982,66519,64095,57696
56974,73552,72876,70951,67370,64445
59535,74020,73952,71337,68458,63118
58877,71861,71857,69521,67035,61001
56611,67319,67563,65917,63557,57085
56619,64321,64828,63417,60386,55104
59304,62610,63065,61452,59338,55013
57239,57528,58603,57072,55714,51848
54823,54483,55032,53015,52411,49052
53797,52697,52829,50937,50356,46404
52935,51773,52067,49621,48885,45256
51962,51782,52139,49242,48177,44370
51961,52605,52720,50042,47883,43898
54562,54792,54863,51873,47234,43128
61313,61288,61569,58490,46839,41395
68150,68248,68982,65515,49948,42769
70131,69375,70615,68491,53896,45730
69931,69077,70164,69383,56885,49310
70574,69810,70168,70043,58579,52268
71190,70554,70593,71001,59628,55383
70705,70189,69994,70502,59050,55223
70464,70016,70247,68949,57101,53217
69544,69541,69634,67764,55631,51698
68679,68723,69264,67087,55310,50883
68049,68767,70120,66905,55633,51725
72610,72617,74194,68923,59168,56150
73838,73350,74776,68276,60940,58328
72169,71449,72628,65419,59526,57056
68908,67737,68376,61777,56161,54665
66732,65311,65250,59447,54083,53723
66707,63905,63231,58665,54214,54667
63624,59956,58504,55792,51760,51840
61156,57148,54716,52555,48800,48822
59789,55331,52186,50317,46625,46921
57968,53852,51072,48966,45130,46035
