datetime,BE_LU_powerline,DE_LU_powerline,FR_LU_powerline,LU_shortage,LU_BE_powerline,LU_DE_powerline,LU_excess,duals
2025-01-05 18:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-05 19:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-05 20:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-05 21:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,29.6419347826
2025-01-05 22:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,25.9973164286
2025-01-05 23:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,25.922701416
2025-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3124504362
2025-01-06 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8230769231
2025-01-06 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8230769231
2025-01-06 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8230769231
2025-01-06 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2539666667
2025-01-06 05:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,25.9973164286
2025-01-06 06:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,33.0880952381
2025-01-06 07:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-06 08:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,33.0880952381
2025-01-06 09:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-06 10:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-06 11:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-06 12:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-06 13:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-06 14:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-06 15:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-06 16:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
