datetime,DE_SE_powerline,DK_SE_powerline,NO_SE_powerline,PL_SE_powerline,SE_pp_biomass,SE_pp_gas,SE_pp_hard_coal,SE_pp_lignite,SE_pp_mixed_fuels,SE_pp_oil,SE_pp_uranium,SE_run_of_river,SE_shortage,SE_solar,SE_storage_phs_out,SE_wind,SE_DE_powerline,SE_DK_powerline,SE_NO_powerline,SE_PL_powerline,SE_excess,SE_load,SE_storage_phs_in,SE_storage_phs,duals
2025-01-03 20:00:00,0.0,0.0,3695.0,0.0,2873.73178427,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2541.066,1237.11340206,2103.09278351,0.0,618.556701031,0.0,15681.03489768,0.0,0.0,15.3483846154
2025-01-03 21:00:00,0.0,0.0,3695.0,0.0,2220.48496691,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2471.106,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14957.82808032,0.0,0.0,15.3483846154
2025-01-03 22:00:00,0.0,0.0,3695.0,0.0,1498.98168417,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2460.0344999999998,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14225.25329758,0.0,0.0,15.3483846154
2025-01-03 23:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2399.991,1237.11340206,1095.84067774,0.0,618.556701031,0.0,13673.480219179999,0.0,0.0,14.8879330769
2025-01-04 00:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2386.428,1237.11340206,1480.41614814,0.0,618.556701031,0.0,13275.341748780002,0.0,0.0,14.4412950846
2025-01-04 01:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2350.8375,1237.11340206,1621.88016726,0.0,618.556701031,0.0,13098.28722966,0.0,0.0,14.4412950846
2025-01-04 02:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,-9e-09,2384.6295,1237.11340206,1753.09899229,0.0,618.556701031,0.0,13000.860404620002,0.0,1e-08,14.4412950846
2025-01-04 03:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2407.658,1237.11340206,1779.87467752,0.0,618.556701031,0.0,12997.1132194,0.0,1e-08,14.4412950846
2025-01-04 04:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,9e-09,2470.6275,1237.11340206,1714.50307092,0.0,618.556701031,0.0,13125.454326000001,0.0,0.0,15.3483846154
2025-01-04 05:00:00,0.0,0.0,3695.0,0.0,871.568189519,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2461.6679999999997,1237.11340206,2103.09278351,0.0,618.556701031,0.0,13599.47330293,0.0,0.0,15.3483846154
2025-01-04 06:00:00,0.0,0.0,3695.0,0.0,1401.40378523,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2478.9215,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14146.56239864,0.0,0.0,15.3483846154
2025-01-04 07:00:00,0.0,0.0,3695.0,0.0,1968.42353014,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2446.8125,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14681.473143550002,0.0,0.0,15.3483846154
2025-01-04 08:00:00,0.0,0.0,3695.0,0.0,2433.79481952,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,6.96e-12,0.0,2451.713,1237.11340206,2103.09278351,0.0,618.556701031,0.0,15151.744932930002,0.0,0.0,15.3483846154
2025-01-04 09:00:00,0.0,0.0,3695.0,0.0,3009.08374592,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,4.9430000000000004e-11,0.0,2389.7884999999997,1237.11340206,2103.09278351,0.0,618.556701031,0.0,15665.10935933,0.0,0.0,15.3483846154
2025-01-04 10:00:00,0.0,0.0,3695.0,0.0,3346.70710972,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,9.594000000000001e-11,0.0,2321.9625,1237.11340206,2103.09278351,0.0,618.556701031,0.0,15934.90672313,0.0,0.0,15.3483846154
2025-01-04 11:00:00,0.0,0.0,3695.0,0.0,3533.32854328,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,1.0730999999999999e-10,0.0,2204.6639999999998,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16004.229656689999,0.0,0.0,15.3483846154
2025-01-04 12:00:00,0.0,0.0,3695.0,0.0,3660.86445068,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,7.329e-11,-9e-09,2075.2545,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16002.35606408,0.0,1e-08,15.3483846154
2025-01-04 13:00:00,0.0,0.0,3695.0,0.0,3867.01624954,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,2.3730000000000002e-11,0.0,1895.333,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16028.58636295,0.0,1e-08,15.3483846154
2025-01-04 14:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,267.89963525,10530.0,0.0,1.0100000000000001e-12,9e-09,1741.8885,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16526.02524867,0.0,0.0,15.8230769231
2025-01-04 15:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,907.230783829,10530.0,0.0,0.0,0.0,1610.301,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17033.76889724,0.0,0.0,15.8230769231
2025-01-04 16:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1166.61311773,10530.0,0.0,0.0,0.0,1524.2259999999999,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17207.07623114,0.0,0.0,15.8230769231
2025-01-04 17:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1068.85411592,10530.0,0.0,0.0,0.0,1440.2465,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17025.33772933,0.0,0.0,15.8230769231
2025-01-04 18:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,625.019913089,10530.0,0.0,0.0,0.0,1390.3890000000001,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16531.6460265,0.0,0.0,15.8230769231
2025-01-04 19:00:00,0.0,0.0,3695.0,0.0,4240.38826877,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1360.832,1237.11340206,2103.09278351,0.0,618.556701031,0.0,15867.45738218,0.0,0.0,15.3483846154
2025-01-04 20:00:00,0.0,0.0,3695.0,0.0,3676.67142985,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1362.471,1237.11340206,2103.09278351,0.0,618.556701031,0.0,15305.379543260002,0.0,0.0,15.3483846154
2025-01-04 21:00:00,0.0,0.0,3695.0,0.0,3158.4419651,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1351.4105,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14776.089578509998,0.0,0.0,15.3483846154
