datetime,R1_R2_powerline,R2_R1_powerline,R2_excess,R2_load,R2_pp_biomass,R2_pp_gas,R2_pp_hard_coal,R2_pp_lignite,R2_pp_mixed_fuels,R2_pp_oil,R2_pp_uranium,R2_run_of_river,R2_shortage,R2_solar,R2_storage_phs_in,R2_storage_phs_level,R2_storage_phs_out,R2_wind,duals
2030-01-02 21:00:00,0.0,6082.57670206186,0.0,15520.976354,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,108.706806460484,528.013056061855,6075.54,32.8266730952632
2030-01-02 22:00:00,0.0,5817.983486,0.0,15424.866514,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,108.706806460484,0.0,6242.849999999999,31.8418729024053
2030-01-02 23:00:00,0.0,7199.857162,0.0,14297.482838,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,108.706806460484,0.0,6497.34,31.8418729024053
2030-01-03 00:00:00,0.0,6561.60723195876,0.0,13241.800152,0.0,0.0,0.0,3019.90738395876,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,873.706806460484,0.0,6883.5,21.1792305263158
2030-01-03 01:00:00,0.0,6206.79933041237,0.0,12796.338672,0.0,0.0,0.0,1814.14800241237,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,1638.70680646048,0.0,7288.99,21.1792305263158
2030-01-03 02:00:00,0.0,5880.79522835051,0.0,12396.643784000002,0.0,0.0,0.0,750.529012350515,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,2403.70680646048,0.0,7626.91,21.1792305263158
2030-01-03 03:00:00,0.0,6733.8287443299,0.0,12445.46148,0.0,0.0,0.0,1414.0802243299,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,3168.70680646048,0.0,7865.21,21.1792305263158
2030-01-03 04:00:00,0.0,8916.17318556701,0.0,12980.930588,0.0,0.0,0.0,4013.80377356701,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,3933.70680646048,0.0,7983.3,21.1792305263158
2030-01-03 05:00:00,0.0,8819.611266,0.0,14093.058733999998,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,3933.70680646048,0.0,7912.670000000001,31.8418729024053
2030-01-03 06:00:00,0.0,9751.90760051546,0.0,14953.470634,0.0,0.0,1121.05823451546,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,2989.26236201604,850.0,7734.32,32.8266730952632
2030-01-03 07:00:00,0.0,10493.2296134021,0.0,15873.3791,0.0,0.0,3128.45505769072,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,2099.3138556701,800.953655711342,7437.200000000001,32.8266730952632
2030-01-03 08:00:00,0.0,10559.9606701031,0.0,16253.2418,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,80.55,0.0,1888.88888888889,189.382470103094,7293.2699999999995,32.8266730952632
2030-01-03 09:00:00,0.0,10106.32925,0.0,16315.789474,0.0,0.0,3667.828724,4250.0,0.0,0.0,4250.0,6500.0,0.0,432.09,0.0,1888.88888888889,0.0,7322.2,32.8266730952632
2030-01-03 10:00:00,0.0,9722.55694381443,0.0,16392.067124,0.0,0.0,2422.87406781443,4250.0,0.0,0.0,4250.0,6500.0,0.0,1090.17,0.0,1888.88888888889,0.0,7601.58,32.8266730952632
2030-01-03 11:00:00,0.0,8544.71989896907,0.0,16364.607170000001,0.0,0.0,187.497068969074,4250.0,0.0,0.0,4250.0,6500.0,0.0,1819.6499999999999,0.0,1888.88888888889,0.0,7902.179999999999,32.8266730952632
2030-01-03 12:00:00,0.0,8778.530298,0.0,16178.489702,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,1808.42,0.0,1888.88888888889,0.0,8148.6,31.8418729024053
2030-01-03 13:00:00,0.0,8661.584264,0.0,15891.685736000001,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,1218.05,0.0,1888.88888888889,0.0,8335.22,31.8418729024053
2030-01-03 14:00:00,0.0,8926.58269536082,0.0,15848.970252000001,0.0,0.0,681.142947360826,4250.0,0.0,0.0,4250.0,6500.0,0.0,606.23,0.0,1888.88888888889,0.0,8488.18,32.8266730952632
2030-01-03 15:00:00,0.0,11240.1698329897,0.0,16202.89855,0.0,0.0,3842.28838298969,4250.0,0.0,0.0,4250.0,6500.0,0.0,36.36,0.0,1888.88888888889,0.0,8564.42,32.8266730952632
2030-01-03 16:00:00,0.0,11420.407704,0.0,17289.092296,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,944.444444444444,850.0,8609.5,54.5699958615385
2030-01-03 17:00:00,0.0,11470.572128,0.0,17276.887872,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,0.0,850.0,8647.460000000001,54.5699958615385
2030-01-03 18:00:00,0.0,9786.22033092783,0.0,16695.652174,0.0,0.0,2833.38250492783,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,0.0,0.0,8648.49,32.8266730952632
2030-01-03 19:00:00,0.0,7723.294264,0.0,15891.685736000001,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,0.0,0.0,8614.98,31.8418729024053
2030-01-03 20:00:00,0.0,8469.687406,0.0,15110.602594,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,0.0,0.0,8580.29,31.8418729024053
2030-01-03 21:00:00,0.0,8030.239222,0.0,15533.180778,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,0.0,0.0,8563.42,31.8418729024053
