datetime,R1_R2_powerline,R1_excess,R1_load,R1_pp_biomass,R1_pp_gas,R1_pp_hard_coal,R1_pp_lignite,R1_pp_mixed_fuels,R1_pp_oil,R1_pp_uranium,R1_run_of_river,R1_shortage,R1_solar,R1_wind,R2_R1_powerline,duals
2030-01-03 20:00:00,0.0,0.0,23326.213932000002,0.0,0.0,2003.35214818,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1357.265,8215.59678382,32.8266730952632
2030-01-03 21:00:00,0.0,0.0,23359.7768285,0.0,0.0,2500.09978316,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1320.345,7789.33204534,32.8266730952632
2030-01-03 22:00:00,0.0,0.0,21504.663936,0.0,0.0,766.10615086,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1278.52,7710.03778514,32.8266730952632
2030-01-03 23:00:00,0.0,0.0,20244.529683,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1198.29,7296.239683,21.8342582745524
2030-01-04 00:00:00,0.0,0.0,19259.000960499998,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1119.8700000000001,6389.1309605,21.8342582745524
2030-01-04 01:00:00,0.0,0.0,18606.0500395,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1034.04,5822.0100395,21.8342582745524
2030-01-04 02:00:00,0.0,0.0,18114.8112635,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,919.7800000000001,5445.0312635,21.8342582745524
2030-01-04 03:00:00,0.0,0.0,18639.612935999998,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,791.2850000000001,6098.327936,21.8342582745524
2030-01-04 04:00:00,0.0,0.0,19677.0115955,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,618.28,7308.7315955,27.411964131096
2030-01-04 05:00:00,0.0,0.0,21028.681023,0.0,0.0,1918.31289894,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,458.57,6901.79812406,32.8266730952632
2030-01-04 06:00:00,0.0,0.0,23149.245924000003,0.0,0.0,4191.08810818001,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,340.39,6867.76781582,32.8266730952632
2030-01-04 07:00:00,0.0,0.0,24754.162671000002,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,97.015,272.735,8384.412671,33.8419310260445
2030-01-04 08:00:00,0.0,0.0,25916.6594015,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,292.655,289.72,9334.2844015,33.8419310260445
2030-01-04 09:00:00,0.0,0.0,26432.307559,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,424.09000000000003,409.80999999999995,9598.407559,33.8419310260445
