class,demand_el,pv,wind,demand_th,price_el
,0.8772556883,0,0.170146,0.2981848543,-28.21
,0.8927730799,0.067126,0.162294,0.2791958332,-35.07
,0.9018394211,0.184019,0.15305,0.2578288263,-41.31
,0.9134338767,0.304866,0.137293,0.2400606312,-37.33
,0.9046290646,0.394485,0.112974,0.2214337026,-34.25
,0.8749019266,0.408927,0.091606,0.210736122,-32.99
,0.8728968704,0.35976,0.082472,0.2050894987,-28.52
,0.8696713451,0.25436,0.07738,0.2052098338,-27.6
,0.8747275739,0.10778,0.07931,0.2077736323,-27.18
,0.9219771598,0.0024,0.0897,0.2140788775,-26.37
,0.9324383227,0,0.097658,0.2252491553,-26
,0.9007061285,0,0.094612,0.2405159524,-28.24
,0.8429082033,0,0.08576,0.2502901799,-30.68
,0.7829308691,0,0.075083,0.2389013683,-32.9
,0.7329788161,0,0.065665,0.2211595052,-32.12
,0.7143230756,0,0.056728,0.1839379346,-32.55
,0.6615813791,0,0.047346,0.1269002312,-30.9
,0.6262749542,0,0.0402,0.1213861267,-26.5
,0.5961119344,0,0.038438,0.1655940671,-23.67
,0.5861738297,0,0.045682,0.1700881514,-21.87
,0.5817278354,0,0.062881,0.1773041705,-20.81
,0.6090140354,0,0.083764,0.1901486592,-20.58
,0.6900880481,0,0.113943,0.2237509635,-21.11
,0.8081248365,0,0.154571,0.2962577996,-23.06
,0.8829221515,0.000009,0.198913,0.3471333528,-28.03
,0.8955627234,0.059474,0.237378,0.3351252995,-33.97
,0.9072443553,0.139784,0.266344,0.315651352,-43.08
,0.9150902275,0.207921,0.29141,0.2983471149,-44
,0.9137825822,0.262834,0.305059,0.2770327689,-42.89
,0.8844041496,0.282589,0.30429,0.2642448856,-41.4
,0.8876296748,0.259873,0.29988,0.256127093,-34.99
,0.8803068608,0.195584,0.301956,0.2549524913,-33.93
,0.8897219074,0.086332,0.317774,0.2589620391,-30.2
,0.9289512684,0.002121,0.345242,0.2677427087,-27.34
,0.9367971406,0,0.361516,0.2775301242,-27.01
,0.9014907157,0,0.379819,0.2933761694,-28.84
,0.8437799669,0,0.406115,0.3062412067,-32.95
,0.785807689,0,0.431427,0.2953162858,-34.94
,0.7286199983,0,0.451883,0.2754339962,-33.7
,0.7202510679,0,0.485349,0.2359839151,-31.51
,0.6656786679,0,0.513379,0.1693646938,-30.49
,0.62182896,0,0.542096,0.1625716563,-25.89
,0.5960247581,0,0.568909,0.1154860344,-23.55
,0.5839072444,0,0.598696,0.1179217554,-21.57
,0.5792868974,0,0.634166,0.1233299357,-21.03
,0.6084038009,0,0.687784,0.1367882996,-19.91
,0.6906982826,0,0.709917,0.1709466284,-19.16
,0.8094324819,0,0.705814,0.2352365983,-20.97
,0.8823990934,0,0.68404,0.2783402294,-27.25
,0.9081161189,0.038498,0.648343,0.2606149545,-33.94
,0.9100339988,0.147806,0.593246,0.2406699522,-35.95
,0.9139569349,0.315057,0.551427,0.2240842557,-30.97
,0.8931217854,0.4368,0.535958,0.2066969757,-24.68
,0.8626972365,0.471365,0.515982,0.1967113342,-24.47
,0.8474413739,0.425294,0.4672,0.1914405016,-22.52
,0.8408159707,0.311134,0.381649,0.1915528283,-21.37
