class,Sink,Source,Source,LinearTransformer,LinearTransformer
label,demand1,solar1,wind1,chp1,chp1
source,bus_el1,solar1,wind1,chp1,chp1
target,demand1,bus_el1,bus_el1,bus_el1,bus_th1
attribute,actual_value,actual_value,actual_value,max,max
,0.5753416301,0.2183313996,0.0063406667,0.97,0.99
,0.5799170327,0.1601096931,0.0073974445,0.97,0.99
,0.6181063934,0.080476743,0.0112402728,0.97,0.99
,0.6758174719,0.0105474106,0.0186377174,0.97,0.99
,0.7741581259,0,0.0333365357,0.97,0.99
,0.7780014641,0,0.0422711115,0.97,0.99
,0.7299902391,0,0.050341051,0.97,0.99
,0.6546486091,0,0.053319243,0.97,0.99
,0.6083455344,0,0.057258142,0.97,0.99
,0.6116398243,0,0.0591795562,0.97,0.99
,0.5666178624,0,0.0639830916,0.97,0.99
,0.5098828697,0,0.0695551926,0.97,0.99
,0.4608345534,0,0.0684023441,0.97,0.99
,0.4216691069,0,0.076664425,0.97,0.99
,0.4155075647,0,0.0843500817,0.97,0.99
,0.4072718399,0,0.0831972332,0.97,0.99
,0.3952537823,0,0.0749351523,0.97,0.99
,0.3910444119,0,0.074358728,0.97,0.99
,0.4239873109,0,0.0752233644,0.97,0.99
,0.472181552,0.0039025419,0.0808915362,0.97,0.99
,0.4903001464,0.0422951165,0.0843500817,0.97,0.99
,0.5067105905,0.102415357,0.0684023441,0.97,0.99
,0.5289165447,0.1518827128,0.0632145259,0.97,0.99
,0.5090287945,0.1732939563,0.0667691421,0.97,0.99
,0.4749267936,0.164012235,0.0777212028,0.97,0.99
