class,label,source,target,conversion_factors,nominal_value,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
LinearTransformer,DE_pp_hard_coal,GL_bus_hard_coal,DE_pp_hard_coal,hard_coal,,,,,,,,,,,,,
LinearTransformer,DE_pp_gas,DE_pp_gas,DE_bus_el,gas,,41.26,,,,,,,,,,,
LinearTransformer,DE_pp_gas,GL_bus_gas,DE_pp_gas,gas,,,,,,,,,,,,,
LinearTransformer,DE_pp_oil,DE_pp_oil,DE_bus_el,oil,,1.2,,,,,,,,,,,
LinearTransformer,DE_pp_oil,GL_bus_oil,DE_pp_oil,oil,,,,,,,,,,,,,
LinearTransformer,DE_pp_mixed_fuels,DE_pp_mixed_fuels,DE_bus_el,mixed_fuels,,0,,,,,,,,,,,
LinearTransformer,DE_pp_mixed_fuels,GL_bus_mixed_fuels,DE_pp_mixed_fuels,mixed_fuels,,,,,,,,,,,,,
Source,DE_wind,DE_wind,DE_bus_el,wind,,85,,,,,,,,,,,
Source,DE_solar,DE_solar,DE_bus_el,solar,,68.8,,,,,,,,,,,
LinearTransformer,DE_pp_biomass,DE_pp_biomass,DE_bus_el,biomass,,11.1,,,,,,,,,,,
LinearTransformer,DE_pp_biomass,GL_bus_biomass,DE_pp_biomass,biomass,,,,,,,,,,,,,
Storage,DE_storage_phs,DE_storage_phs,DE_bus_el,storage_phs,,15.65,,,,,,,,,,,
Sink,DE_load,DE_load,DE_bus_el,load,,102.76,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### DK,,,,,,,,,,,,,,,,,
Sink,DK_excess,DK_bus_el,DK_excess,,,,,1000,,,,,,,,,
Source,DK_shortage,DK_shortage,DK_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,DK_pp_uranium,DK_pp_uranium,DK_bus_el,uranium,,0,,,,,,,,,,,
LinearTransformer,DK_pp_uranium,GL_bus_uranium,DK_pp_uranium,uranium,,,,,,,,,,,,,
LinearTransformer,DK_pp_lignite,DK_pp_lignite,DK_bus_el,lignite,,0,,,,,,,,,,,
LinearTransformer,DK_pp_lignite,GL_bus_lignite,DK_pp_lignite,lignite,,,,,,,,,,,,,
LinearTransformer,DK_pp_hard_coal,DK_pp_hard_coal,DK_bus_el,hard_coal,,0,,,,,,,,,,,
LinearTransformer,DK_pp_hard_coal,GL_bus_hard_coal,DK_pp_hard_coal,hard_coal,,,,,,,,,,,,,
LinearTransformer,DK_pp_gas,DK_pp_gas,DK_bus_el,gas,,2.01,,,,,,,,,,,
LinearTransformer,DK_pp_gas,GL_bus_gas,DK_pp_gas,gas,,,,,,,,,,,,,
LinearTransformer,DK_pp_oil,DK_pp_oil,DK_bus_el,oil,,0,,,,,,,,,,,
LinearTransformer,DK_pp_oil,GL_bus_oil,DK_pp_oil,oil,,,,,,,,,,,,,
LinearTransformer,DK_pp_mixed_fuels,DK_pp_mixed_fuels,DK_bus_el,mixed_fuels,,0,,,,,,,,,,,
LinearTransformer,DK_pp_mixed_fuels,GL_bus_mixed_fuels,DK_pp_mixed_fuels,mixed_fuels,,,,,,,,,,,,,
Source,DK_wind,DK_wind,DK_bus_el,wind,,10.46,,,,,,,,,,,
Source,DK_solar,DK_solar,DK_bus_el,solar,,3.43,,,,,,,,,,,
LinearTransformer,DK_pp_biomass,DK_pp_biomass,DK_bus_el,biomass,,4.14,,,,,,,,,,,
LinearTransformer,DK_pp_biomass,GL_bus_biomass,DK_pp_biomass,biomass,,,,,,,,,,,,,
Storage,DK_storage_phs,DK_storage_phs,DK_bus_el,storage_phs,,0.01,,,,,,,,,,,
Sink,DK_load,DK_load,DK_bus_el,load,,7.62,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### FR,,,,,,,,,,,,,,,,,
Sink,FR_excess,FR_bus_el,FR_excess,,,,,1000,,,,,,,,,
Source,FR_shortage,FR_shortage,FR_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,FR_pp_uranium,FR_pp_uranium,FR_bus_el,uranium,,40,,,,,,,,,,,
LinearTransformer,FR_pp_uranium,GL_bus_uranium,FR_pp_uranium,uranium,,,,,,,,,,,,,
LinearTransformer,FR_pp_lignite,FR_pp_lignite,FR_bus_el,lignite,,0,,,,,,,,,,,
LinearTransformer,FR_pp_lignite,GL_bus_lignite,FR_pp_lignite,lignite,,,,,,,,,,,,,
LinearTransformer,FR_pp_hard_coal,FR_pp_hard_coal,FR_bus_el,hard_coal,,1.74,,,,,,,,,,,
LinearTransformer,FR_pp_hard_coal,GL_bus_hard_coal,FR_pp_hard_coal,hard_coal,,,,,,,,,,,,,
LinearTransformer,FR_pp_gas,FR_pp_gas,FR_bus_el,gas,,12.48,,,,,,,,,,,
LinearTransformer,FR_pp_gas,GL_bus_gas,FR_pp_gas,gas,,,,,,,,,,,,,
LinearTransformer,FR_pp_oil,FR_pp_oil,FR_bus_el,oil,,3.75,,,,,,,,,,,
LinearTransformer,FR_pp_oil,GL_bus_oil,FR_pp_oil,oil,,,,,,,,,,,,,
LinearTransformer,FR_pp_mixed_fuels,FR_pp_mixed_fuels,FR_bus_el,mixed_fuels,,0,,,,,,,,,,,
LinearTransformer,FR_pp_mixed_fuels,GL_bus_mixed_fuels,FR_pp_mixed_fuels,mixed_fuels,,,,,,,,,,,,,
Source,FR_wind,FR_wind,FR_bus_el,wind,,40,,,,,,,,,,,
Source,FR_solar,FR_solar,FR_bus_el,solar,,30,,,,,,,,,,,
LinearTransformer,FR_pp_biomass,FR_pp_biomass,FR_bus_el,biomass,,9.3,,,,,,,,,,,
LinearTransformer,FR_pp_biomass,GL_bus_biomass,FR_pp_biomass,biomass,,,,,,,,,,,,,
Storage,FR_storage_phs,FR_storage_phs,FR_bus_el,storage_phs,,28.2,,,,,,,,,,,
Sink,FR_load,FR_load,FR_bus_el,load,,87.89,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### LU,,,,,,,,,,,,,,,,,
Sink,LU_excess,LU_bus_el,LU_excess,,,,,1000,,,,,,,,,
Source,LU_shortage,LU_shortage,LU_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,LU_pp_uranium,LU_pp_uranium,LU_bus_el,uranium,,,,,,,,,,,,,
LinearTransformer,LU_pp_uranium,GL_bus_uranium,LU_pp_uranium,uranium,,,,,,,,,,,,,
LinearTransformer,LU_pp_lignite,LU_pp_lignite,LU_bus_el,lignite,,0,,,,,,,,,,,
LinearTransformer,LU_pp_lignite,GL_bus_lignite,LU_pp_lignite,lignite,,,,,,,,,,,,,
LinearTransformer,LU_pp_hard_coal,LU_pp_hard_coal,LU_bus_el,hard_coal,,0,,,,,,,,,,,
LinearTransformer,LU_pp_hard_coal,GL_bus_hard_coal,LU_pp_hard_coal,hard_coal,,,,,,,,,,,,,
LinearTransformer,LU_pp_gas,LU_pp_gas,LU_bus_el,gas,,0.55,,,,,,,,,,,
LinearTransformer,LU_pp_gas,GL_bus_gas,LU_pp_gas,gas,,,,,,,,,,,,,
LinearTransformer,LU_pp_oil,LU_pp_oil,LU_bus_el,oil,,0,,,,,,,,,,,
LinearTransformer,LU_pp_oil,GL_bus_oil,LU_pp_oil,oil,,,,,,,,,,,,,
LinearTransformer,LU_pp_mixed_fuels,LU_pp_mixed_fuels,LU_bus_el,mixed_fuels,,0,,,,,,,,,,,
LinearTransformer,LU_pp_mixed_fuels,GL_bus_mixed_fuels,LU_pp_mixed_fuels,mixed_fuels,,,,,,,,,,,,,
Source,LU_wind,LU_wind,LU_bus_el,wind,,0.18,,,,,,,,,,,
Source,LU_solar,LU_solar,LU_bus_el,solar,,0,,,,,,,,,,,
LinearTransformer,LU_pp_biomass,LU_pp_biomass,LU_bus_el,biomass,,0.07,,,,,,,,,,,
LinearTransformer,LU_pp_biomass,GL_bus_biomass,LU_pp_biomass,biomass,,,,,,,,,,,,,
Storage,LU_storage_phs,LU_storage_phs,LU_bus_el,storage_phs,,1.34,,,,,,,,,,,
