0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
446400.0,-7.6,-10.3,81,100900,9999,9999,197,0,0,0,999900,999900,999900,99990,150,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
450000.0,-7.5,-10.2,81,100830,9999,9999,197,0,0,0,999900,999900,999900,99990,140,3.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
453600.0,-7.3,-10.3,79,100780,9999,9999,200,0,0,0,999900,999900,999900,99990,160,2.0,3,3,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
457200.0,-8.3,-11.0,81,100760,9999,9999,194,0,0,0,999900,999900,999900,99990,100,1.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
460800.0,-9.1,-11.3,84,100730,9999,9999,191,0,0,0,999900,999900,999900,99990,90,1.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
464400.0,-9.3,-11.3,85,100740,9999,9999,198,47,0,33,999900,999900,999900,99990,360,1.0,5,5,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
468000.0,-7.4,-9.8,83,100750,9999,9999,206,141,536,72,999900,999900,999900,99990,340,0.0,5,5,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
471600.0,-4.9,-9.2,72,100800,9999,9999,223,225,556,100,999900,999900,999900,99990,350,1.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
475200.0,-4.4,-9.6,67,100790,9999,9999,232,227,329,133,999900,999900,999900,99990,50,0.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
478800.0,-3.3,-9.3,63,100780,9999,9999,237,236,254,158,999900,999900,999900,99990,280,1.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
482400.0,-3.3,-9.5,62,100780,9999,9999,247,191,163,144,999900,999900,999900,99990,10,1.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
486000.0,-3.4,-9.0,65,100830,9999,9999,246,108,61,94,999900,999900,999900,99990,130,0.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
489600.0,-3.6,-9.2,65,100890,9999,9999,234,33,0,33,999900,999900,999900,99990,100,0.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
493200.0,-4.2,-8.7,71,101000,9999,9999,219,0,0,0,999900,999900,999900,99990,350,2.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
496800.0,-5.2,-8.9,75,101060,9999,9999,209,0,0,0,999900,999900,999900,99990,350,1.0,3,3,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
500400.0,-6.4,-9.3,80,101130,9999,9999,203,0,0,0,999900,999900,999900,99990,320,1.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
504000.0,-7.4,-9.6,84,101200,9999,9999,198,0,0,0,999900,999900,999900,99990,50,1.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
507600.0,-8.0,-10.2,84,101280,9999,9999,195,0,0,0,999900,999900,999900,99990,70,1.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
511200.0,-7.3,-8.8,89,101310,9999,9999,231,0,0,0,999900,999900,999900,99990,110,1.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
514800.0,-5.7,-8.0,84,101350,9999,9999,273,0,0,0,999900,999900,999900,99990,150,1.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
518400.0,-5.1,-8.2,79,101390,9999,9999,276,0,0,0,999900,999900,999900,99990,170,2.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
522000.0,-4.9,-8.0,79,101390,9999,9999,277,0,0,0,999900,999900,999900,99990,150,2.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
525600.0,-4.9,-8.0,79,101420,9999,9999,277,0,0,0,999900,999900,999900,99990,160,2.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
529200.0,-4.5,-7.7,78,101500,9999,9999,279,0,0,0,999900,999900,999900,99990,180,2.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
